tag,x,y,z
fr:Europop,-7.4570017,-18.89328,-16.805765
en:Noise_pop,8.195586,-12.376698,-9.85113
en:French_pop,1.4012419,-21.898783,1.9817774
ja:ニュー・ウェーヴ,4.447517,-5.7974467,-18.887909
fr:Pop_psychédélique,8.232987,-19.498375,-4.493249
en:Easy_Listening,-21.237005,-7.511401,-3.948752
en:Nu_jazz,-9.329547,10.787085,9.442031
fr:Salsa,-15.633477,-14.262586,16.557468
es:J-pop,-8.91492,-22.413303,1.0924423
es:Dubstep,-13.700697,6.930473,-14.008758
nl:Gospelmuziek,-2.2282147,-2.5087063,18.407516
es:Música_industrial,-6.6600704,19.251568,-12.356737
en:Rap_music,-25.894785,13.166503,-0.53360784
fr:Experimental_rock,0.461964,6.461624,-2.0690784
en:Death_metal,13.059691,20.973967,-5.129391
ja:ビバップ,-3.288607,15.241266,20.141972
en:Pop-rock,8.512098,-17.652126,-1.1710389
fr:Avant-garde,-0.8632537,10.608139,2.6698804
nl:Powermetal,10.575909,25.073221,3.9048364
en:Cello_rock,11.059942,5.2585964,5.0818825
en:Electropunk,12.077977,-2.4061544,-21.30135
nl:Synthpop,-5.128744,-6.0478973,-23.916233
en:Samba,-15.22824,-16.167423,12.347839
es:Urban,-21.270191,-1.0839565,4.256765
nl:Electropop,-7.235642,-5.408412,-25.329048
fr:Musique_symphonique,-0.6762439,-2.2568269,6.343437
en:Latin_jazz,-9.766329,-10.942375,19.678774
en:Techno,-9.530752,-0.25365916,-14.873088
en:Electropop,-6.5758147,-4.637303,-24.254488
fr:Metal_industriel,-3.3907726,20.985611,-10.169039
es:Tech_house,-16.641108,-0.8493711,-13.324778
es:Música_popular,-2.2684007,-10.361956,3.6976619
nl:Industrial_metal,-2.8715208,20.224741,-9.969132
fr:Electro,-12.495291,-0.6800713,-21.395325
es:World_Music,-6.4283895,-7.648022,5.029789
fr:Avant-garde_jazz,-2.1054304,8.429281,4.7235847
nl:Powerpop,13.329268,-16.951262,-6.1131644
en:R&B_music,-12.727156,-0.4922279,8.759349
es:J-rock,-6.969838,-22.47937,5.6851315
es:Street_punk,15.882029,1.0872933,-18.712963
es:Neo-psicodelia,14.708605,-4.7830753,-8.085291
en:Pop_rap,-30.972294,6.2168164,-0.18837269
es:Viking_Metal,16.984797,24.37681,6.8585258
en:Ballad,-0.95444953,-20.876766,11.307605
es:Samba,-15.239567,-16.132011,12.263466
nl:Grindcore,14.450275,11.304283,-15.721082
cs:Doo-wop,-15.6437025,0.3705968,15.543259
en:Southern_rap,-28.934534,11.100545,6.3683686
en:Skate_punk,20.438662,-2.944635,-22.602064
en:Kayōkyoku,-10.121474,-14.592606,5.1959777
es:Dark_Wave,2.0448575,0.624752,-19.37055
ja:スムーズジャズ,-12.457995,15.7627535,15.806899
ja:サウンドトラック,-1.472422,-6.7702155,-1.59781
en:Baroque_pop,5.438097,-15.389412,2.7345872
cs:K-pop,-9.916448,-23.823772,-1.2557563
en:Blue-eyed_soul,-10.104535,4.2565665,22.959671
fr:Pop,1.7672354,-17.849382,-2.87909
nl:Countrypop,7.0149217,-12.00405,20.69961
es:Piano_rock,11.861705,6.4508433,7.2874446
en:Canterbury_scene,-11.740014,-3.674412,3.6751919
es:Cumbia_mexicana,-14.871932,-12.828925,20.555363
es:Post-Grunge,15.823045,-15.081112,-21.278807
es:Skate_punk,19.764507,-2.3909678,-22.359055
es:Merengue,-16.303831,-11.936183,17.3852
en:Industrial_metal,-1.880086,20.292011,-9.913203
es:Smooth_jazz,-11.966504,14.958927,15.098634
fr:Doom_metal,14.980044,14.46089,-5.0758424
es:Rock_en_español,-6.190006,-10.734236,15.307689
en:Intelligent_dance_music,-9.50411,-5.1919165,-10.397706
es:Adult_Contemporary,-18.658342,-7.927184,3.806391
ja:シンフォニック・ロック,7.2599363,5.367251,4.8376327
fr:Heavy_metal_traditionnel,10.230075,21.982296,1.9259659
fr:Death_mélodique,17.560358,20.668608,-8.019642
en:Hard_bop,-5.8898277,15.887417,21.821001
en:Pop,4.945801,-19.539492,-1.2763635
ja:ポストロック,7.127092,1.2426853,-6.523254
ja:ラップメタル,-4.506727,20.61176,-0.07834385
es:Big_band,-10.0657425,5.8974113,4.2776628
en:J-Pop,-7.595523,-21.405972,1.3808674
en:J-Urban,-20.431906,-2.240408,3.5178113
ja:ヒップホップ,-26.75928,10.177322,-4.062006
en:Psychedelic_folk,15.208871,-16.5237,14.706379
es:Música_alternativa,10.085083,11.336126,14.761164
en:Boogie-woogie,2.9098868,6.355827,17.02077
es:Rock,11.665682,-2.4240134,5.7332106
en:Moombahton,-16.53623,4.652379,-16.363134
en:Dubstep,-14.3617115,7.654193,-13.926476
en:Hip_hop,-27.715382,11.230126,-2.8021994
nl:Electrohouse,-15.291803,-0.36694565,-18.15859
cs:Rock_and_roll,13.072405,-1.131551,9.858816
fr:Bluegrass,8.066842,-12.5222645,26.490915
es:Hardcore_hip_hop,-20.528137,14.529763,-6.8573556
nl:Latin_pop,-7.9829803,-14.466913,16.468952
es:Banda_sonora,-1.5315168,-5.9160995,-1.555625
nl:Wereldmuziek,-7.4298153,-8.494617,6.3733783
en:Stoner_metal,18.842356,5.8689823,-2.7191465
fr:New_wave,4.82432,-5.1117196,-18.586956
nl:Experimentele_rock,1.199929,6.8433876,-0.12909372
en:Protopunk,22.589483,-6.0537996,-17.642828
en:Film_music,-2.0867045,-4.3251023,1.4540598
fr:Rock_gothique,27.657875,7.5098825,-6.09141
es:Dance-Pop,-5.1189427,-15.391241,-9.724841
fr:Groove_metal,6.432307,17.332827,-11.911115
ja:ヴィジュアル系,-7.0737257,-27.324146,5.2874937
en:Tejano_music,-10.908003,-13.925319,17.368322
fr:Funk-rock,-11.571698,20.460823,4.438922
en:House_Music,-17.973072,-2.0433576,-15.885635
en:Experimental_pop,-2.3282459,5.218041,-1.6957704
fr:Pub_rock,8.443049,-2.7733295,9.04541
es:Metal_Progresivo,9.000063,25.762243,-7.4905086
en:Mod_revival,9.153622,-5.5931377,-17.262531
fr:Pagan_metal,15.910389,20.891632,6.1944475
en:Post-disco,-13.967404,-12.089518,-12.5092745
es:Stoner_rock,19.025927,4.7915897,-1.5296763
nl:Pop_rock,10.885176,-14.37871,-1.1370428
fr:Techno_minimale,-10.472119,0.36558703,-12.467808
en:Rapping,-25.517933,12.494153,-1.433462
en:Pop_Rock,8.29368,-17.444159,-1.013149
ja:ラップロック,-4.7153077,20.55661,-0.044380337
es:Indie_rock,13.477713,-26.165117,1.0927156
fr:Pop_baroque,5.128829,-14.498504,2.8932076
fr:Pop_punk,20.555706,1.5781752,-18.113655
fr:Hip-hop_alternatif,-25.416996,13.491358,-5.2216077
en:Contemporary_Christian_music,2.7905574,-0.89186263,14.702936
nl:Urban,-20.780848,-0.7013298,3.9551678
es:Soul,-6.79445,2.8659785,19.063492
fr:Chanson,-3.6698472,-14.322898,3.963203
ja:ポップミュージック,2.139985,-16.172646,-1.430402
fr:Musique_expérimentale,-2.6547704,3.1227436,-2.182442
fr:Cool_jazz,-14.674481,12.018944,11.600946
es:Garage_punk,8.482728,-8.547,-31.782251
en:Sludge_metal,12.353949,12.874326,-8.403008
fr:Chanson_française,-1.4880694,-21.572426,18.143122
es:Ska_punk,26.494623,-7.000629,-8.495874
nl:Chanson,-0.98578906,-21.772486,18.48095
cs:Pop_rock,8.470327,-16.374138,-3.539633
ja:ジャズ,-7.417578,9.70462,11.540743
ja:シンフォニック・メタル,6.475699,24.747162,11.966987
en:Rap_metal,-8.302828,18.962425,0.5125286
en:Proto-punk,22.350437,-5.7345524,-16.777887
ja:ボサノヴァ,-10.536407,-6.4436846,17.812351
fr:Rock_britannique,9.097832,-6.5512214,5.730171
nl:Progressive_rock,11.927733,6.611338,-0.04115609
en:Bluegrass_music,8.824498,-12.886955,26.115473
es:Indietrónica,-3.4418437,-9.53804,-21.70297
cs:Alternativní_country,3.8919747,-6.3951616,24.273664
es:Thrashcore,14.766915,12.084308,-18.056114
es:Guaracha,-17.576061,-14.161332,19.283594
fr:Beat,-15.796967,4.2438955,5.339542
fr:Hardcore_punk,14.036169,7.9332566,-19.18939
fr:Dancehall,-23.807606,-7.4183807,14.000282
ja:グルーヴ・メタル,5.8703065,17.147911,-12.743159
ja:ポストパンク,13.232527,-4.1232233,-16.21527
cs:Hip_hop,-23.580654,10.241681,-3.6713877
es:Post-bop,-4.6687126,18.098646,19.742683
en:Mainstream_jazz,-8.582946,9.172045,8.523555
es:Chill_out,-21.551645,-2.4207525,-8.634811
nl:Blues,1.2892007,5.714893,24.49083
nl:Indie_rock,16.161133,-27.042727,-1.2523494
cs:Instrumentální_rock,-4.5518847,10.246758,-4.7666717
ja:ダンス・ミュージック,-7.116225,-10.21141,-6.0590086
en:Jazz,-7.3152227,10.218235,9.752249
cs:Alternativní_metal,10.4975,17.91473,18.367943
es:Nu-disco,-15.235923,-13.19226,-10.581966
fr:Mathcore,10.274826,15.031014,-20.456501
ja:ゴシックメタル,29.543053,9.440656,-1.8548354
en:Instrumental_hip_hop,-28.838778,12.054223,-1.9813919
en:Pop_Music,4.239148,-18.534168,-1.5167489
en:Texas_blues,1.3483232,4.09942,26.00459
en:Post-Britpop,17.369139,-13.881458,-13.038839
en:Acid_jazz,-9.777138,13.95412,10.675088
